"Authorize and Capture","Authorize and Capture"
"Payment Method Title","Payment Method Title"
"Apply Now URL","Apply Now URL"
"Synchrony Revolving Payment Variables","Synchrony Revolving Payment Variables"
"%1 Synchrony Promotions based on ""%2"" attribute have been disabled.","%1 Synchrony Promotions based on ""%2"" attribute have been disabled."
"ForcePurchase (Synchrony)","ForcePurchase (Synchrony)"
"Adjust/Refund (Synchrony)","Adjust/Refund (Synchrony)"
"Product Name","Product Name"
Sku,Sku
"Promo Code","Promo Code"
"Promotion Amounts","Promotion Amounts"
"Promotion Rules Applied","Promotion Rules Applied"
Default,Default
Loading...,Loading...
"Synchrony Payment Transaction Failed","Synchrony Payment Transaction Failed"
Reason:,Reason:
Customer:,Customer:
"name from billing address","name from billing address"
"Default promo code:","Default promo code:"
"Applied Promotion Rules","Applied Promotion Rules"
"Order Items Summary","Order Items Summary"
"Date & Time:","Date & Time:"
"/ month","/ month"
"suggested payments with","suggested payments with"
"month special financing","month special financing"
"on your","on your"
"if purchased","if purchased"
"Learn how.","Learn how."
Close,Close
"Promotional Purchase Amount","Promotional Purchase Amount"
"Suggested Equal Monthly Payment","Suggested Equal Monthly Payment"
"Promotional Period","Promotional Period"
"The Suggested Equal Monthly Payment shown above may be greater than the required minimum monthly payment that will be on your billing statement when you use the","The Suggested Equal Monthly Payment shown above may be greater than the required minimum monthly payment that will be on your billing statement when you use the"
"month promotional financing offer.","month promotional financing offer."
"This estimated payment:","This estimated payment:"
"Equals the promotional purchase amount divided by","Equals the promotional purchase amount divided by"
"rounded to the next highest whole dollar.","rounded to the next highest whole dollar."
"Would pay off the promotional purchase amount within","Would pay off the promotional purchase amount within"
"months, but only if there are no other balances on your account at any time during the","months, but only if there are no other balances on your account at any time during the"
"month promotional period and you make your payments on time.","month promotional period and you make your payments on time."
"Your total payments will equal the amount of the promotional purchase amount.","Your total payments will equal the amount of the promotional purchase amount."
"If the promotional purchase amount is not paid in full within","If the promotional purchase amount is not paid in full within"
"months, interest will be","months, interest will be"
"charged to your account from the purchase date and your total payments will be greater than the amount of the promotional purchase amount.","charged to your account from the purchase date and your total payments will be greater than the amount of the promotional purchase amount."
"IMPORTANT: The information about the Suggested Equal Monthly Payment shown assumes the following promotional financing offer is applied to the purchase:","IMPORTANT: The information about the Suggested Equal Monthly Payment shown assumes the following promotional financing offer is applied to the purchase:"
"No Interest if Paid in Full Within","No Interest if Paid in Full Within"
Months*,Months*
"On purchases","On purchases"
of,of
"or more","or more"
"with your","with your"
made,made
"Interest will be charged to your account from the purchase date if the promotional purchase is not paid in full within","Interest will be charged to your account from the purchase date if the promotional purchase is not paid in full within"
months.,months.
"Minimum monthly payments required.","Minimum monthly payments required."
"APPLY NOW","APPLY NOW"
"*No interest will be charged on the promo balance if you pay it off, in full, within the promo period. If you do not, interest will be charged on the promo balance from the purchase date. The required minimum monthly payments may or may not pay off the promo balance before the end of the promo period, depending on purchase amount, promo length and payment allocation. Regular account terms apply to non-promo purchases and, after promo period ends, to the promo balance. For new accounts: Purchase APR is","*No interest will be charged on the promo balance if you pay it off, in full, within the promo period. If you do not, interest will be charged on the promo balance from the purchase date. The required minimum monthly payments may or may not pay off the promo balance before the end of the promo period, depending on purchase amount, promo length and payment allocation. Regular account terms apply to non-promo purchases and, after promo period ends, to the promo balance. For new accounts: Purchase APR is"
"Minimum interest charge is","Minimum interest charge is"
"Existing cardholders: See your credit card agreement terms. Subject to credit approval.","Existing cardholders: See your credit card agreement terms. Subject to credit approval."
with,with
"month financing","month financing"
"Promotional Purchase Amount (Total Payments)","Promotional Purchase Amount (Total Payments)"
"Equal Monthly Payment Required","Equal Monthly Payment Required"
"The estimated monthly payment shown above equals the purchase price","The estimated monthly payment shown above equals the purchase price"
"divided by the number of months in the promo period.","divided by the number of months in the promo period."
"It is rounded to the next highest whole dollar.","It is rounded to the next highest whole dollar."
"It is only good with the financing offer shown.","It is only good with the financing offer shown."
"If you make these payments by the due date each month, you should pay off this purchase within the promo period, if it is the only balance you are paying off.","If you make these payments by the due date each month, you should pay off this purchase within the promo period, if it is the only balance you are paying off."
"If you have other balances on your account, this payment will be added to any other minimum monthly payments.","If you have other balances on your account, this payment will be added to any other minimum monthly payments."
"IMPORTANT: The information about the Equal Monthly Payment shown assumes the following promotional financing offer is applied to the purchase: ","IMPORTANT: The information about the Equal Monthly Payment shown assumes the following promotional financing offer is applied to the purchase: "
"No Interest for","No Interest for"
"equal monthly payments required.","equal monthly payments required."
"*No interest will be charged on promo purchase balance and equal monthly payments are required on promo purchase until it is paid in full. The payments equal the initial total promo purchase amount divided by the number of months in the promo period, rounded up to the next whole dollar. These payments may be higher than the payments that would be required if this purchase was a non-promo purchase. Regular account terms apply to non-promo purchases. For new accounts: Purchase APR is","*No interest will be charged on promo purchase balance and equal monthly payments are required on promo purchase until it is paid in full. The payments equal the initial total promo purchase amount divided by the number of months in the promo period, rounded up to the next whole dollar. These payments may be higher than the payments that would be required if this purchase was a non-promo purchase. Regular account terms apply to non-promo purchases. For new accounts: Purchase APR is"
"Minimum interest charge is ","Minimum interest charge is "
"Total Payments (including interest)","Total Payments (including interest)"
"Fixed Monthly Payment Required","Fixed Monthly Payment Required"
"The estimated monthly payment shown above equals the purchase price ","The estimated monthly payment shown above equals the purchase price "
"multiplied by ","multiplied by "
"It is only good with the financing offer shown. If you make these payments by the due date each month, you should pay off this purchase within the promo period, if it is the only balance you are paying off.","It is only good with the financing offer shown. If you make these payments by the due date each month, you should pay off this purchase within the promo period, if it is the only balance you are paying off."
"IMPORTANT: The information about the Fixed Monthly Payment shown assumes the following promotional financing offer is applied to the purchase:","IMPORTANT: The information about the Fixed Monthly Payment shown assumes the following promotional financing offer is applied to the purchase:"
"APR for","APR for"
"fixed monthly payments required.","fixed monthly payments required."
"*Interest will be charged on the promo purchase from the purchase date at a reduced","*Interest will be charged on the promo purchase from the purchase date at a reduced"
"APR, and fixed monthly payments are required until paid in full. These payments are equal to","APR, and fixed monthly payments are required until paid in full. These payments are equal to"
"of initial promo purchase amount and rounded up to the next whole dollar. These payments may be higher than the payments that would be required if this purchase was a non-promo purchase. Regular account terms apply to non-promo purchases. For new accounts: Purchase APR is","of initial promo purchase amount and rounded up to the next whole dollar. These payments may be higher than the payments that would be required if this purchase was a non-promo purchase. Regular account terms apply to non-promo purchases. For new accounts: Purchase APR is"
"Return to Cart","Return to Cart"
"Continue to Payment","Continue to Payment"
"(excluding taxes and delivery)","(excluding taxes and delivery)"
"Synchrony Digital Buy","Synchrony Digital Buy"
"Digital Buy is an online payment platform that makes accepting Synchrony Financial (SYF) issued credit cards easy and intuitive for customers.","Digital Buy is an online payment platform that makes accepting Synchrony Financial (SYF) issued credit cards easy and intuitive for customers."
"API Credentials","API Credentials"
"Use Sandbox","Use Sandbox"
Production,Production
"Digital Buy Revolving API Merchant ID","Digital Buy Revolving API Merchant ID"
"Digital Buy Revolving API Password","Digital Buy Revolving API Password"
"Digital Buy Installment API Merchant ID","Digital Buy Installment API Merchant ID"
"Digital Buy Installment API Password","Digital Buy Installment API Password"
"Buy Service API Username","Buy Service API Username"
"Buy Service API Password","Buy Service API Password"
"Buy Service API Merchant ID","Buy Service API Merchant ID"
"Leave empty if same as for Digital Buy API (Revolving or Installment)","Leave empty if same as for Digital Buy API (Revolving or Installment)"
"Proxy Enable (Yes/No)","Proxy Enable (Yes/No)"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
Sandbox,Sandbox
"Leave empty if same as for Digital Buy API","Leave empty if same as for Digital Buy API"
"Synchrony Digital Buy Revolving Payment","Synchrony Digital Buy Revolving Payment"
"Enable Synchrony Digital Buy Revolving Payment","Enable Synchrony Digital Buy Revolving Payment"
"To enable this payment solution, it's also required website base currency to be USD","To enable this payment solution, it's also required website base currency to be USD"
Title,Title
"Payment Action","Payment Action"
"Sort Order","Sort Order"
"Digital Buy Available in Cart","Digital Buy Available in Cart"
"Cart Button Image URL","Cart Button Image URL"
"Private label credit card logo","Private label credit card logo"
"Cart Button Image Alt Text","Cart Button Image Alt Text"
"Default Promo Code","Default Promo Code"
"Add address match note to payment form","Add address match note to payment form"
"Synchrony Digital Buy Installment Payment","Synchrony Digital Buy Installment Payment"
"Enable Synchrony Digital Buy Installment Payment","Enable Synchrony Digital Buy Installment Payment"
