"Submenu Background Image","Submenu Background Image"
"Submenu Text Color","Submenu Text Color"
"Menu Item Hover Color","Menu Item Hover Color"
"Hamburger Button Color","Hamburger Button Color"
Light,Light
Dark,Dark
"Bright Blue","Bright Blue"
"Amasty MegaMenu Products","Amasty MegaMenu Products"
"List of Products","List of Products"
Title,Title
"Block Layout","Block Layout"
Grid,Grid
Slider,Slider
"Number of Visible Items","Number of Visible Items"
"Slider Width(px)","Slider Width(px)"
"Slider Autoplay","Slider Autoplay"
"Slider Autoplay Speed(ms)","Slider Autoplay Speed(ms)"
"Show Product Options & 'Add to Cart' Button","Show Product Options & 'Add to Cart' Button"
"Display Page Control","Display Page Control"
"Number of Products per Page","Number of Products per Page"
"Number of Products to Display","Number of Products to Display"
Template,Template
"Amasty Products Grid Template","Amasty Products Grid Template"
"Cache Lifetime (Seconds)","Cache Lifetime (Seconds)"
"
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                ","
                    Time in seconds between the widget updates.
                    <br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
                    <br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.
                "
Conditions,Conditions
Back,Back
Builder,Builder
"Custom Menu Item","Custom Menu Item"
"URL Key","URL Key"
"Relative to Web Site Base URL.","Relative to Web Site Base URL."
"Please insert full URL address.","Please insert full URL address."
Status,Status
"Submenu Width","Submenu Width"
"Width (px)","Width (px)"
"Menu Label Text","Menu Label Text"
"Label Background Color (hex)","Label Background Color (hex)"
"Label Text Color (hex)","Label Text Color (hex)"
"Content (For Desktop Only)","Content (For Desktop Only)"
"Add New Custom Item","Add New Custom Item"
"All Store Views","All Store Views"
"Store View","Store View"
"Delete items","Delete items"
"Are you sure to delete selected links?","Are you sure to delete selected links?"
ID,ID
"Mega Menu (For Desktop Only)","Mega Menu (For Desktop Only)"
"Number of Columns with Subcategories","Number of Columns with Subcategories"
"If the value is 0, the number of columns equals to the number of child categories. The maximum is 10.","If the value is 0, the number of columns equals to the number of child categories. The maximum is 10."
"Mega Menu Icon","Mega Menu Icon"
"For desktop and/or mobile view depending on General Configuration.","For desktop and/or mobile view depending on General Configuration."
"Submenu Type","Submenu Type"
"Subcategories Position","Subcategories Position"
Account,Account
Settings,Settings
